ID,Country,CompTotal,Currency,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DevType,JobSat,RemoteWork,EdLevel,OrgSize,Age,Employment,AISelect
9693,United States of America,107271,USD	United States dollar,23,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",45-54 years old,"Employed, full-time","No, but I plan to soon"
9694,United States of America,240000,USD	United States dollar,12,Bash/Shell (all shells);C;Dart;Elixir;Erlang;HTML/CSS;JavaScript;TypeScript,Elixir;Erlang;Zig,"Senior Executive (C-Suite, VP, etc.)",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,35-44 years old,"Employed, full-time",Yes
9695,China,,,,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Julia;Lua;MATLAB;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;HTML/CSS;JavaScript;Julia;Lua;Python;Ruby;Rust;Scala;SQL;TypeScript,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time",Yes
9696,South Korea,,KRW	South Korean won,4,C;C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,"Developer, back-end",8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",25-34 years old,"Employed, full-time",Yes
9697,United States of America,,USD	United States dollar,37,C#;JavaScript;Lua;PowerShell;Python;SQL,C#;Erlang;Go;PowerShell;SQL,"Developer, full-stack",10,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,55-64 years old,"Employed, full-time",Yes
9698,Brazil,,BRL	Brazilian real,1,C;Cobol;Dart;Fortran;HTML/CSS;Java;JavaScript;Perl;Python;SQL;TypeScript,Dart;HTML/CSS;Python,Other (please specify):,8,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",35-44 years old,"Employed, full-time","No, but I plan to soon"
9699,United States of America,190000,USD	United States dollar,5,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;TypeScript,Java;Kotlin,"Developer, full-stack",1,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
9700,India,,INR	Indian rupee,12,HTML/CSS;Python,HTML/CSS;Kotlin;Python,DevOps specialist,,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",25-34 years old,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Yes
9701,United States of America,300000,USD	United States dollar,11,Elixir;Erlang;JavaScript;Ruby,Elixir;Erlang;OCaml;Rust;Zig,Engineering manager,5,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
9702,United States of America,,,,Bash/Shell (all shells);C;C++;Groovy;Lisp;Perl;Rust;SQL,Assembly;Bash/Shell (all shells);C;C++;Go;Haskell;Lisp;Perl;Rust;SQL;Zig,Student,,,Primary/elementary school,,Under 18 years old,"Student, full-time;Not employed, but looking for work",Yes
9703,China,,CNY	Chinese Yuan Renminbi,Less than 1 year,C;C++;Python,C;C++;Python,Student,,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,18-24 years old,"Student, full-time;Employed, part-time",Yes
9704,Philippines,,PHP	Philippine peso,3,Bash/Shell (all shells);PowerShell;Python,Bash/Shell (all shells);Elixir;JavaScript;Kotlin;Python;Ruby,DevOps specialist,6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",18-24 years old,"Employed, full-time","No, but I plan to soon"
9705,United States of America,172000,USD	United States dollar,9,C#;HTML/CSS;Python;Rust,C#;HTML/CSS;Python;Rust,"Developer, AI",2,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
9706,United States of America,,,,C;C#;HTML/CSS;Java;JavaScript,F#;MATLAB;Python;Swift,Other (please specify):,5,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,45-54 years old,"Employed, full-time",Yes
9707,Brazil,,,,Python;R,Assembly;C;C#;Go;HTML/CSS;JavaScript;Lua;Rust;Zig,Other (please specify):,,,Some college/university study without earning a degree,,25-34 years old,"Not employed, and not looking for work","No, and I don't plan to"
9708,Philippines,,,10,C#;HTML/CSS;JavaScript;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,,Some college/university study without earning a degree,,25-34 years old,"Not employed, but looking for work",Yes
9709,United States of America,175000,USD	United States dollar,14,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Swift,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",35-44 years old,"Employed, full-time","No, and I don't plan to"
9710,United States of America,75000,USD	United States dollar,Less than 1 year,Dart;HTML/CSS;Java;JavaScript;Python;SQL;Swift,Dart;SQL;Swift;TypeScript,"Developer, mobile",9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,18-24 years old,"Employed, full-time",Yes
9711,United States of America,,,,Java;Python;Rust,Haskell;Lisp;Python;Rust,,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,"Student, full-time","No, and I don't plan to"
9712,India,,,1,C;C++,,Student,,,Some college/university study without earning a degree,,25-34 years old,"Not employed, and not looking for work",Yes
9713,Taiwan,,,1,Assembly;C++;HTML/CSS;JavaScript;Python;Swift;TypeScript,Assembly;C;C++;Go;HTML/CSS;JavaScript;MATLAB;Python;Swift;TypeScript,"Developer, full-stack",,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time;Not employed, but looking for work",Yes
9714,Philippines,1316300,PHP	Philippine peso,6,C#;HTML/CSS;JavaScript;Python;Rust;SQL,C#;HTML/CSS;JavaScript;Python;Rust;SQL,Other (please specify):,7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time",Yes
9715,United States of America,112000,USD	United States dollar,8,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,C#;JavaScript;Kotlin;TypeScript,DevOps specialist,10,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",25-34 years old,"Employed, full-time","No, but I plan to soon"
9716,Japan,2400000,JPY	Japanese yen,11,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lisp;Perl;PHP;PowerShell;Python;Ruby;Rust;SQL;TypeScript;VBA,C#;F#;Haskell;Lisp;Ruby;Rust;TypeScript,"Developer, desktop or enterprise applications",3,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,35-44 years old,"Employed, full-time",Yes
9717,Brazil,350000,BRL	Brazilian real,10,Bash/Shell (all shells);JavaScript;TypeScript,Bash/Shell (all shells);JavaScript;TypeScript,"Developer, full-stack",,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,25-34 years old,"Employed, full-time",Yes
9718,Australia,,AUD	Australian dollar,22,C#;HTML/CSS,C#;HTML/CSS,"Developer, full-stack",5,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",45-54 years old,"Employed, full-time","No, but I plan to soon"
9719,Germany,,,15,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript;VBA,,"Developer, full-stack",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,55-64 years old,"Not employed, and not looking for work","No, but I plan to soon"
9720,United States of America,,USD	United States dollar,12,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lisp;PHP;Python;Rust;TypeScript;Zig,Assembly;Lisp;Rust,Cloud infrastructure engineer,,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
9721,Mexico,400000,MXN	Mexican peso,Less than 1 year,C#;PHP;Python,C#;Cobol;Kotlin;Python,Other (please specify):,,In-person,Some college/university study without earning a degree,"10,000 or more employees",25-34 years old,"Employed, full-time",Yes
9722,Philippines,336000,PHP	Philippine peso,3,Go;HTML/CSS;JavaScript;Python;SQL,Go;HTML/CSS;JavaScript;SQL,"Developer, full-stack",8,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,18-24 years old,"Student, full-time;Employed, part-time",Yes
9723,United States of America,210000,USD	United States dollar,8,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;SQL,Go;Kotlin;Rust;SQL,"Developer, back-end",9,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
9724,Singapore,315000,SGD	Singapore dollar,8,Go;HTML/CSS;JavaScript;SQL,Go;HTML/CSS;JavaScript;SQL;Swift,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
9725,Argentina,50000000,ARS	Argentine peso,34,C#;Python,C#;Python,"Developer, desktop or enterprise applications",9,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2 to 9 employees,55-64 years old,"Employed, full-time","No, and I don't plan to"
9726,Russian Federation,,,2,C;C#;C++;Go;Haskell;Java;JavaScript;Lisp;Lua;OCaml;Python;Rust;Scala;TypeScript,Clojure;SQL;Zig,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time;Not employed, but looking for work","No, and I don't plan to"
9727,United States of America,215000,USD	United States dollar,20,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Lua;Ruby;Rust;SQL;TypeScript,Elixir;Go;HTML/CSS;OCaml;SQL,"Developer, full-stack",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,35-44 years old,"Employed, full-time",Yes
9728,United States of America,350000,USD	United States dollar,6,Go;Java;Python;SQL,,"Developer, back-end",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,25-34 years old,"Employed, full-time","No, but I plan to soon"
9729,Canada,,,,C#;HTML/CSS;Java;JavaScript;Python;SQL,C#;Dart;Go;Python;Rust,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time",Yes
9730,United States of America,148000,USD	United States dollar,8,JavaScript;PHP,PHP,"Developer, full-stack",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",45-54 years old,"Employed, full-time","No, and I don't plan to"
9731,United States of America,202000,USD	United States dollar,23,C;C++;HTML/CSS;JavaScript;Python,C++;Python,"Developer, desktop or enterprise applications",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
9732,United States of America,400000,USD	United States dollar,13,Bash/Shell (all shells);HTML/CSS;Python;Rust;TypeScript,Bash/Shell (all shells);HTML/CSS;Python;Rust;TypeScript,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
9733,"Iran, Islamic Republic of...",50000000000,IRR	Iranian rial,2,C++;MATLAB;PHP;SQL,,Academic researcher,,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I don’t know,55-64 years old,"Employed, part-time",Yes
9734,United States of America,150000,USD	United States dollar,10,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Rust;SQL;Swift,Engineering manager,10,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
9735,Canada,90000,CAD	Canadian dollar,2,Bash/Shell (all shells);Go,Bash/Shell (all shells);Go;Nim;TypeScript,"Developer, back-end",7,Remote,Some college/university study without earning a degree,20 to 99 employees,25-34 years old,"Employed, full-time;Student, part-time",Yes
9736,India,,INR	Indian rupee,10,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,"Developer, front-end",7,Remote,Some college/university study without earning a degree,2 to 9 employees,35-44 years old,"Employed, full-time",Yes
9737,Paraguay,96000,USD	United States dollar,13,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,35-44 years old,"Employed, full-time",Yes
9738,Viet Nam,,VND	Vietnamese dong,1,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",6,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",18-24 years old,"Employed, full-time",Yes
9739,Malaysia,169000,MYR	Malaysian ringgit,8,C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript,C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript,"Developer, full-stack",6,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",35-44 years old,"Employed, full-time",Yes
9740,India,,,,Dart,Dart;GDScript;Rust,Student,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, full-time","No, but I plan to soon"
9741,Singapore,,SGD	Singapore dollar,2,Bash/Shell (all shells);Java;Python;R;SQL,Bash/Shell (all shells);Python;R;SQL,Data engineer,1,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
9742,India,,,,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;Solidity,Assembly;C;C++;Go;Lua;OCaml;Python;Rust;Zig,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time",Yes
9743,United States of America,100000,USD	United States dollar,18,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;SQL,"Developer, full-stack",,Remote,Some college/university study without earning a degree,2 to 9 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
9744,Indonesia,,,,Java;JavaScript,,"Developer, mobile",,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time","No, but I plan to soon"
9745,Viet Nam,780000000,VND	Vietnamese dong,10,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Rust;TypeScript,"Developer, front-end",8,In-person,Some college/university study without earning a degree,100 to 499 employees,25-34 years old,"Employed, full-time",Yes
9746,United States of America,,,,C#;F#;Rust,F#;Swift,Student,,,Primary/elementary school,,Under 18 years old,"Student, full-time","No, and I don't plan to"
9747,Canada,90000,CAD	Canadian dollar,3,C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;JavaScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
9748,United States of America,225000,USD	United States dollar,8,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time","No, but I plan to soon"
9749,Australia,130000,AUD	Australian dollar,12,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, but I plan to soon"
9750,Poland,,,,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL;TypeScript,Other (please specify):,7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, but I plan to soon"
9751,United States of America,,,,C++;HTML/CSS;Rust;SQL;Zig,GDScript;HTML/CSS;Rust;Zig,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time",Yes
9752,New Zealand,,,,Java;JavaScript;SQL;TypeScript,C#;Go;JavaScript;SQL;TypeScript,Other (please specify):,8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
9753,China,400000,CNY	Chinese Yuan Renminbi,8,Kotlin;TypeScript,Kotlin;TypeScript,"Developer, mobile",5,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time",Yes
9754,United States of America,346000,USD	United States dollar,13,Assembly;Bash/Shell (all shells);C#;C++;Haskell;HTML/CSS;Java;JavaScript;Prolog;Rust;SQL;TypeScript,C#;F#;Haskell;OCaml;Prolog;Rust;SQL;TypeScript,Other (please specify):,7,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",25-34 years old,"Employed, full-time","No, and I don't plan to"
9755,Malaysia,,MYR	Malaysian ringgit,12,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;TypeScript,"Developer, front-end",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
9756,Philippines,,PHP	Philippine peso,7,C#;Dart,C#;Dart,"Developer, mobile",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
9757,Canada,176000,CAD	Canadian dollar,18,HTML/CSS;JavaScript;Python;SQL;TypeScript,JavaScript;Python;Rust;SQL;TypeScript,"Developer, back-end",9,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
9758,Taiwan,1300000,TWD	New Taiwan dollar,10,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);JavaScript;PHP;Python,Educator,,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
9759,Croatia,13000,EUR European Euro,2,Apex;Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL,Assembly;Bash/Shell (all shells);C;C++;Cobol;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,"Developer, full-stack",9,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
9760,United States of America,165000,USD	United States dollar,2,Bash/Shell (all shells);Elixir;Go;Groovy;Python;SQL;TypeScript,Clojure;Elixir;Ruby;Rust;SQL,"Developer, back-end",10,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,25-34 years old,"Employed, full-time",Yes
9761,Canada,,CAD	Canadian dollar,13,C#;HTML/CSS;JavaScript;SQL,C#;Elixir;HTML/CSS;JavaScript;Python;R;SQL,"Developer, back-end",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
9762,India,5000000,INR	Indian rupee,19,HTML/CSS;Java;JavaScript;Kotlin;SQL,HTML/CSS;Java;JavaScript;Kotlin;SQL,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,35-44 years old,"Employed, full-time","No, but I plan to soon"
9763,Australia,146000,AUD	Australian dollar,9,JavaScript;Python;TypeScript,Rust;TypeScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,25-34 years old,"Employed, full-time",Yes
9764,United States of America,130000,USD	United States dollar,17,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Bash/Shell (all shells);JavaScript;Rust,"Developer, full-stack",5,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,55-64 years old,"Employed, full-time",Yes
9765,India,,INR	Indian rupee,1,HTML/CSS;JavaScript;SQL;TypeScript,C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, front-end",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",18-24 years old,"Student, full-time;Independent contractor, freelancer, or self-employed","No, but I plan to soon"
9766,Australia,170000,AUD	Australian dollar,10,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP,Engineering manager,6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
9767,Pakistan,6687943,PKR	Pakistani rupee,6,C#;C++;MATLAB;Visual Basic (.Net),HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",5,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,25-34 years old,"Employed, full-time","No, but I plan to soon"
9768,United States of America,125000,USD	United States dollar,18,Bash/Shell (all shells);Go;Python,Go,DevOps specialist,7,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,45-54 years old,"Employed, full-time",Yes
9769,Australia,70000,AUD	Australian dollar,Less than 1 year,Bash/Shell (all shells);C++;HTML/CSS;Lua;Python;Rust,Rust,Other (please specify):,,In-person,Some college/university study without earning a degree,500 to 999 employees,18-24 years old,"Employed, full-time",Yes
9770,United States of America,87000,USD	United States dollar,9,C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;C++;GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift,"Developer, front-end",6,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
9771,Thailand,1200000,THB	Thai baht,8,Elixir;Go;Python;TypeScript,Elixir,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
9772,United States of America,200000,USD	United States dollar,40,Bash/Shell (all shells);C#;JavaScript;Python;SQL,Bash/Shell (all shells);C#;JavaScript;Python;R;SQL,Data engineer,4,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",55-64 years old,"Employed, full-time","No, and I don't plan to"
9773,United States of America,,,24,,,"Developer, back-end",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Not employed, but looking for work","No, and I don't plan to"
9774,Philippines,348000,PHP	Philippine peso,4,Dart;HTML/CSS;Java;JavaScript;PHP;Python,Dart;HTML/CSS;JavaScript;Kotlin;Python;Swift;TypeScript,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,25-34 years old,"Employed, full-time",Yes
9775,Germany,,,,Assembly;C;C++;Dart;Go;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lua;Python;Rust;TypeScript,Assembly;C++;Go;HTML/CSS;JavaScript;Julia;Lua;Python;Rust;TypeScript;Zig,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,"Student, full-time",Yes
9776,Canada,130000,CAD	Canadian dollar,16,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,HTML/CSS;Rust;SQL;TypeScript,Engineering manager,8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,35-44 years old,"Employed, full-time",Yes
9777,United States of America,300000,USD	United States dollar,11,Bash/Shell (all shells);C#;Python;R;SQL,JavaScript;Python;SQL,"Senior Executive (C-Suite, VP, etc.)",10,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
9778,South Korea,33000000,KRW	South Korean won,Less than 1 year,HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Kotlin;Python;TypeScript,"Developer, full-stack",4,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
9779,United States of America,,,,Haskell;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,Haskell;HTML/CSS;OCaml;Rust;SQL;TypeScript,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time","No, and I don't plan to"
9780,United States of America,,,5,HTML/CSS;Java;JavaScript;Perl;Python;SQL;TypeScript,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Not employed, but looking for work","No, and I don't plan to"
9781,Australia,120000,AUD	Australian dollar,14,Bash/Shell (all shells);C#;Groovy;Java;PowerShell;Python;SQL,Bash/Shell (all shells);Python;SQL,DevOps specialist,,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",35-44 years old,"Employed, part-time",Yes
9782,Turkey,,,,Assembly;Bash/Shell (all shells);C;C#;C++;Objective-C;Python;Ruby;Rust,Assembly;Bash/Shell (all shells);Go;Objective-C;Python;Ruby;Rust;Swift,"Developer, back-end",,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,18-24 years old,"Employed, part-time",Yes
9783,South Africa,1008000,ZAR	South African rand,22,C#;VBA,C#,"Developer, full-stack",3,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20 to 99 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
9784,Canada,,,2,Dart;HTML/CSS;JavaScript,Bash/Shell (all shells);Dart;HTML/CSS;PHP;TypeScript,"Developer, front-end",,,Some college/university study without earning a degree,,55-64 years old,Retired,Yes
9785,Malaysia,80000,MYR	Malaysian ringgit,5,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, but I plan to soon"
