ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
9329,United States of America,USA,190000,USD	United States dollar,15960000,8,Bash/Shell (all shells);Python;Rust;Swift,4,Python;Rust;Swift,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
9330,United States of America,USA,240000,USD	United States dollar,20160000,6,Assembly;C;C++;Java;Lua;Objective-C;Python,7,Assembly;C;C++;Java,"Developer, game or graphics",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
9331,United States of America,USA,210000,USD	United States dollar,17640000,17,C#;JavaScript;Python;SQL;TypeScript,5,C#;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
9332,New Zealand,New Zealand,140000,NZD	New Zealand dollar,7677600,3,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,4,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",No,0
9333,Brazil,Brazil,247000,BRL	Brazilian real,3705000,19,HTML/CSS;JavaScript;PHP;SQL,4,HTML/CSS;JavaScript;PHP;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
9334,United States of America,USA,165000,USD	United States dollar,13860000,10,JavaScript;PHP,2,Java;JavaScript;PHP,"Developer, full-stack",,Remote,2,"Associate degree (A.A., A.S., etc.)","5,000 to 9,999 employees",7500,35-44 years old,35,"Employed, full-time",No,0
9335,New Zealand,New Zealand,170000,NZD	New Zealand dollar,9322800,25,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,7,Bash/Shell (all shells);C;GDScript;Go;HTML/CSS;JavaScript;Lua;Nim;Python;Rust;SQL;TypeScript;Zig,Engineering manager,,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,20 to 99 employees,60,45-54 years old,45,"Employed, full-time",No,0
9336,New Zealand,New Zealand,140000,NZD	New Zealand dollar,7677600,20,C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,8,C#;F#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10 to 19 employees,15,45-54 years old,45,"Employed, full-time",Yes,1
9337,Brazil,Brazil,80000,BRL	Brazilian real,1200000,3,HTML/CSS;JavaScript;Python;SQL;TypeScript,5,C#,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,500 to 999 employees,750,35-44 years old,35,"Employed, full-time;Student, part-time",Yes,1
9338,United States of America,USA,250000,USD	United States dollar,21000000,34,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Lua;SQL,7,Go;SQL,"Developer, desktop or enterprise applications",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,55-64 years old,55,"Employed, full-time",Yes,1
9339,United States of America,USA,157600,USD	United States dollar,13238400,20,C#;HTML/CSS;TypeScript,3,C#;HTML/CSS;TypeScript,"Developer, full-stack",,Remote,2,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
9340,New Zealand,New Zealand,116000,NZD	New Zealand dollar,6361440,11,Bash/Shell (all shells);JavaScript;Ruby;SQL;TypeScript,5,Bash/Shell (all shells);Elixir;Ruby;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
9341,United States of America,USA,235000,USD	United States dollar,19740000,23,C++,1,Rust,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",Yes,1
9342,United States of America,USA,120000,USD	United States dollar,10080000,4,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;TypeScript,6,C++;Java;Prolog,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
9343,Australia,Australia,200000,AUD	Australian dollar,11000000,8,Python,1,Python,Data scientist or machine learning specialist,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
9344,Germany,Germany,80000,EUR European Euro,7280000,16,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PowerShell;Python,7,Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL,Security professional,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
9345,United States of America,USA,179300,USD	United States dollar,15061200,5,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,8,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
9346,United States of America,USA,200000,USD	United States dollar,16800000,40,Bash/Shell (all shells);C++,2,Rust,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,55-64 years old,55,"Employed, full-time",No,0
9347,Canada,Canada,100000,CAD	Canadian dollar,6200000,10,C++;Go;Objective-C,3,HTML/CSS;Java;JavaScript;Kotlin;PHP;TypeScript,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
9348,Australia,Australia,162000,AUD	Australian dollar,8910000,20,C#,1,C#;Swift,Other (please specify):,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
9349,United Kingdom of Great Britain and Northern Ireland,United Kingdom,95000,GBP	Pound sterling,10070000,10,C#;HTML/CSS;JavaScript;Python;SQL,5,C#;GDScript;HTML/CSS;MicroPython;Python;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
9350,Germany,Germany,100000,EUR European Euro,9100000,8,Go;Java;Python,3,Dart;Go;Rust,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",Yes,1
9351,United States of America,USA,350000,USD	United States dollar,29400000,16,Go;Kotlin;Python;Rust,4,Rust,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",No,0
9352,Italy,Italy,60000,EUR European Euro,5460000,19,Assembly;Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;JavaScript;PowerShell;Python,9,C++;Java;Python;Rust;Scala;TypeScript,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,45-54 years old,45,"Employed, full-time",Yes,1
9353,United States of America,USA,300000,USD	United States dollar,25200000,42,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;SQL,6,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Data scientist or machine learning specialist,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","10,000 or more employees",10000,55-64 years old,55,"Employed, full-time",Yes,1
9354,Australia,Australia,185000,AUD	Australian dollar,10175000,18,JavaScript;PHP;SQL,3,JavaScript;Kotlin;PHP;SQL,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,20 to 99 employees,60,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
9355,France,France,70000,EUR European Euro,6370000,20,Bash/Shell (all shells);C++;PowerShell;Scala,4,Java;Kotlin;PowerShell;Rust;Scala;Swift,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",Yes,1
9356,United Kingdom of Great Britain and Northern Ireland,United Kingdom,141500,GBP	Pound sterling,14999000,4,Bash/Shell (all shells);C;C++;JavaScript;Python;SQL;TypeScript,7,C++;OCaml;Python;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
9357,United Kingdom of Great Britain and Northern Ireland,United Kingdom,95000,GBP	Pound sterling,10070000,21,C;C#,2,C#;Go;JavaScript;Zig,"Developer, embedded applications or devices",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",1,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
9358,United States of America,USA,160000,USD	United States dollar,13440000,19,Bash/Shell (all shells);C#;C++;GDScript;Java;Kotlin;Python;Rust,8,C;C#;C++;Dart;GDScript;Go;HTML/CSS;JavaScript;Python;Rust;Zig,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
9359,United Kingdom of Great Britain and Northern Ireland,United Kingdom,165000,GBP	Pound sterling,17490000,9,Bash/Shell (all shells);Haskell;Scala,3,Haskell;Java;Scala,Engineering manager,,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
9360,United States of America,USA,150000,USD	United States dollar,12600000,35,Bash/Shell (all shells);Cobol;Fortran;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL;Swift;VBA;Visual Basic (.Net),14,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,45-54 years old,45,"Employed, full-time",No,0
9361,France,France,75000,USD	United States dollar,6300000,12,Go;HTML/CSS;JavaScript;Python;TypeScript,5,Go;HTML/CSS;JavaScript;Python;TypeScript;Zig,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,45-54 years old,45,"Independent contractor, freelancer, or self-employed",Yes,1
9362,United States of America,USA,100000,USD	United States dollar,8400000,15,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript,5,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
9363,United States of America,USA,168000,USD	United States dollar,14112000,14,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,5,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,"Senior Executive (C-Suite, VP, etc.)",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",Yes,1
9364,Canada,Canada,240000,CAD	Canadian dollar,14880000,20,Assembly;Delphi;Go;Groovy;HTML/CSS;Java;Kotlin;PHP;PowerShell;Prolog;Python;Scala;SQL,13,Go;Groovy;Java;Python;Scala;SQL,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
9365,United States of America,USA,225000,USD	United States dollar,18900000,30,JavaScript;TypeScript,2,Haskell;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,55-64 years old,55,"Employed, full-time",Yes,1
9366,Ukraine,Ukraine,64000,UAH	Ukrainian hryvnia,134400,20,Java;JavaScript;Kotlin;Python;Scala;SQL,6,Go;Java;Kotlin;Python;SQL,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
9367,United States of America,USA,195000,USD	United States dollar,16380000,7,Bash/Shell (all shells);Clojure;Java;Lua;Python;Ruby,6,Go,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
9368,Australia,Australia,190000,AUD	Australian dollar,10450000,19,C#,1,C#;Clojure,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
9369,Australia,Australia,127000,AUD	Australian dollar,6985000,14,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,6,C++;F#;Go;Java;PHP;Visual Basic (.Net),"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
9370,United States of America,USA,93000,USD	United States dollar,7812000,13,C#;HTML/CSS;JavaScript;SQL;TypeScript,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
9371,United States of America,USA,390000,USD	United States dollar,32760000,9,Bash/Shell (all shells);Go;Java;JavaScript;Python;Ruby;Scala;SQL;TypeScript,9,Rust,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
9372,Brazil,Brazil,90000,BRL	Brazilian real,1350000,4,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,6,Erlang;Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,"5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
9373,Brazil,Brazil,204000,BRL	Brazilian real,3060000,2,Python;SQL,2,Python;SQL,Data scientist or machine learning specialist,,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
9374,Poland,Poland,230000,PLN	Polish zloty,4830000,3,Bash/Shell (all shells);Python;TypeScript,3,Bash/Shell (all shells);Go;Python;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",No,0
9375,Poland,Poland,120000,PLN	Polish zloty,2520000,5,C#;C++,2,C#;C++,"Developer, game or graphics",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
9376,United States of America,USA,90000,USD	United States dollar,7560000,40,Bash/Shell (all shells);Go;PHP,3,Bash/Shell (all shells);Go;PHP,Other (please specify):,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,65 years or older,65,"Employed, full-time",Yes,1
9377,Argentina,Argentina,72000,USD	United States dollar,6048000,13,HTML/CSS;JavaScript;TypeScript,3,Python;TypeScript,"Developer, front-end",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
9378,New Zealand,New Zealand,123000,NZD	New Zealand dollar,6745320,38,C#;JavaScript;SQL,3,C#;JavaScript;SQL;Swift,"Developer, desktop or enterprise applications",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,65 years or older,65,"Employed, full-time",Yes,1
9379,Australia,Australia,100000,AUD	Australian dollar,5500000,10,C#;HTML/CSS;JavaScript;SQL,4,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",No,0
9380,United States of America,USA,200000,USD	United States dollar,16800000,49,Bash/Shell (all shells);C;C++;Java;JavaScript;Python;Rust,7,Bash/Shell (all shells);C;C++;Java;JavaScript;Rust,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,65 years or older,65,"Employed, full-time",Yes,1
9381,United States of America,USA,390000,USD	United States dollar,32760000,16,Assembly;Bash/Shell (all shells);C;C++;Go;JavaScript;Lua;Objective-C;Python;Swift,10,Assembly;Bash/Shell (all shells);C;C++;Go;Kotlin;Objective-C;Python;Rust;Swift,Security professional,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Student, part-time",Yes,1
9382,United States of America,USA,180000,USD	United States dollar,15120000,11,Bash/Shell (all shells);C#;Elixir;HTML/CSS;JavaScript;Python;SQL;TypeScript,8,Bash/Shell (all shells);Elixir;Erlang;Go,Cloud infrastructure engineer,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
9383,Australia,Australia,84000,AUD	Australian dollar,4620000,3,Bash/Shell (all shells);JavaScript,2,Scala,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
9384,United States of America,USA,220000,USD	United States dollar,18480000,12,HTML/CSS;JavaScript;TypeScript,3,Elixir;HTML/CSS;JavaScript;Swift;TypeScript,"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
9385,United States of America,USA,180000,USD	United States dollar,15120000,8,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;Swift;TypeScript;Visual Basic (.Net),11,Bash/Shell (all shells);JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Independent contractor, freelancer, or self-employed",Yes,1
9386,United States of America,USA,240000,USD	United States dollar,20160000,20,Bash/Shell (all shells);Go;JavaScript;Kotlin;Objective-C;Rust;Swift;TypeScript,8,Bash/Shell (all shells);Go;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",Yes,1
9387,Germany,Germany,85000,EUR European Euro,7735000,18,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,8,Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, part-time",No,0
9388,United States of America,USA,190000,USD	United States dollar,15960000,20,C++;Rust;TypeScript,3,C++;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
9389,United States of America,USA,180000,USD	United States dollar,15120000,20,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,8,C#;JavaScript;TypeScript,DevOps specialist,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
9390,United States of America,USA,162000,USD	United States dollar,13608000,10,Go;JavaScript;SQL;TypeScript,4,Go;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
9391,United States of America,USA,130000,USD	United States dollar,10920000,24,Go;Java;JavaScript,3,Go;Haskell;Java;JavaScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",Yes,1
9392,Canada,Canada,213000,CAD	Canadian dollar,13206000,15,Python;Scala;SQL,3,Scala,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,35-44 years old,35,"Employed, full-time",No,0
9393,United States of America,USA,236000,USD	United States dollar,19824000,15,C++;Python;SQL,3,C++;Python;SQL,Other (please specify):,,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
9394,Australia,Australia,140000,AUD	Australian dollar,7700000,33,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),6,C#;HTML/CSS;PowerShell;SQL,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,45-54 years old,45,"Employed, full-time",Yes,1
9395,United States of America,USA,240000,USD	United States dollar,20160000,24,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,7,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Associate degree (A.A., A.S., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
9396,Australia,Australia,185000,AUD	Australian dollar,10175000,8,C#;HTML/CSS;JavaScript;TypeScript,4,C#;C++;TypeScript,Engineering manager,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
9397,United States of America,USA,220000,USD	United States dollar,18480000,11,Bash/Shell (all shells);Go;JavaScript;SQL;TypeScript,5,Go;SQL;TypeScript,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
9398,Australia,Australia,206000,AUD	Australian dollar,11330000,16,C#;HTML/CSS;JavaScript;SQL;TypeScript,5,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
9399,United States of America,USA,125000,USD	United States dollar,10500000,8,C;C++;Fortran;JavaScript;Julia;MATLAB;Perl;Python;Ruby;SQL;VBA,11,C++;Go;Lua;Python;Rust,Data scientist or machine learning specialist,,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
9400,United Kingdom of Great Britain and Northern Ireland,United Kingdom,90000,GBP	Pound sterling,9540000,17,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;Swift;TypeScript,8,JavaScript;Swift;TypeScript,System administrator,,Remote,2,Some college/university study without earning a degree,"5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",No,0
9401,Australia,Australia,340000,AUD	Australian dollar,18700000,25,HTML/CSS;JavaScript;SQL;TypeScript,4,Rust,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,45-54 years old,45,"Independent contractor, freelancer, or self-employed",Yes,1
9402,Australia,Australia,200000,AUD	Australian dollar,11000000,20,Haskell;HTML/CSS;JavaScript;Rust;TypeScript,5,Haskell;HTML/CSS;JavaScript;Rust;TypeScript,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
9403,United States of America,USA,170000,USD	United States dollar,14280000,10,Bash/Shell (all shells);Dart;Elixir;Erlang;HTML/CSS;JavaScript;Rust;SQL;TypeScript,9,Bash/Shell (all shells);Elixir;HTML/CSS;Rust;SQL,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
9404,Singapore,Singapore,143000,SGD	Singapore dollar,10270260,15,Go;Java;JavaScript;Python;R;SQL,6,Java;JavaScript;Python;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
9405,Costa Rica,Costa Rica,110000,USD	United States dollar,9240000,14,HTML/CSS;JavaScript;SQL;TypeScript,4,Go;HTML/CSS;JavaScript;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
9406,United States of America,USA,220000,USD	United States dollar,18480000,20,Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lisp;Python;Ruby;SQL;TypeScript;Zig,11,Assembly;Bash/Shell (all shells);C;Elixir;Erlang;HTML/CSS;Lisp;Ruby;SQL;Zig,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
9407,Brazil,Brazil,140000,BRL	Brazilian real,2100000,32,C++,1,C++,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",No,0
9408,Australia,Australia,150000,AUD	Australian dollar,8250000,8,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,7,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;SQL,Engineering manager,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
